  Training |   327 | Steps:  7 | Time:  466 | Loss:   3.22516 | Score:  0
  Training |   328 | Steps:  8 | Time:  414 | Loss:   3.34223 | Score:  0
  Training |   329 | Steps:  6 | Time:  477 | Loss:   3.51983 | Score:  0
  Training |   330 | Steps: 22 | Time:  709 | Loss:   3.62020 | Score:  1
  Training |   331 | Steps:  9 | Time:  473 | Loss:   3.44586 | Score:  1
  Training |   332 | Steps:  6 | Time:  424 | Loss:   3.27018 | Score:  0
  Training |   333 | Steps: 15 | Time:  651 | Loss:   3.47393 | Score:  0
  Training |   334 | Steps: 23 | Time:  700 | Loss:   3.42422 | Score:  0
  Training |   335 | Steps:  9 | Time:  468 | Loss:   3.31288 | Score:  0
  Training |   336 | Steps:  7 | Time:  438 | Loss:   3.15274 | Score:  0
  Training |   337 | Steps: 11 | Time:  490 | Loss:   3.65368 | Score:  0
  Training |   338 | Steps: 21 | Time:  679 | Loss:   3.50162 | Score:  0
  Training |   339 | Steps: 12 | Time:  513 | Loss:   3.40681 | Score:  0
  Training |   340 | Steps: 12 | Time:  534 | Loss:   3.85824 | Score:  0
  Training |   341 | Steps:  6 | Time:  436 | Loss:   3.52453 | Score:  0
  Training |   342 | Steps:  6 | Time:  436 | Loss:   3.75567 | Score:  0
  Training |   343 | Steps: 26 | Time:  769 | Loss:   3.35033 | Score:  1
  Training |   344 | Steps: 59 | Time: 1494 | Loss:   3.57705 | Score:  1
  Training |   345 | Steps: 22 | Time:  747 | Loss:   3.37765 | Score:  1
  Training |   346 | Steps: 16 | Time:  651 | Loss:   3.33633 | Score:  0
  Training |   347 | Steps: 16 | Time:  606 | Loss:   3.26364 | Score:  1
  Training |   348 | Steps: 38 | Time: 1127 | Loss:   3.63528 | Score:  1
  Training |   349 | Steps: 16 | Time:  655 | Loss:   3.59147 | Score:  0
