  Training |   283 | Steps:  8 | Time:  458 | Loss:   4.32197 | Score:  0
  Training |   284 | Steps: 21 | Time:  718 | Loss:   4.26649 | Score:  0
  Training |   285 | Steps:  8 | Time:  450 | Loss:   4.01816 | Score:  0
  Training |   286 | Steps: 16 | Time:  603 | Loss:   4.17117 | Score:  1
  Training |   287 | Steps: 13 | Time:  564 | Loss:   4.44848 | Score:  1
  Training |   288 | Steps: 10 | Time:  484 | Loss:   4.81068 | Score:  0
  Training |   289 | Steps:  8 | Time:  434 | Loss:   4.40620 | Score:  0
  Training |   290 | Steps:  7 | Time:  404 | Loss:   3.61640 | Score:  0
  Training |   291 | Steps:  6 | Time:  385 | Loss:   3.97266 | Score:  0
  Training |   292 | Steps: 21 | Time:  666 | Loss:   4.05474 | Score:  0
  Training |   293 | Steps: 10 | Time:  497 | Loss:   3.97854 | Score:  0
  Training |   294 | Steps: 14 | Time:  530 | Loss:   4.71966 | Score:  0
  Training |   295 | Steps:  9 | Time:  461 | Loss:   4.09824 | Score:  0
  Training |   296 | Steps:  9 | Time:  448 | Loss:   4.49978 | Score:  0
  Training |   297 | Steps:  7 | Time:  444 | Loss:   4.49338 | Score:  0
  Training |   298 | Steps: 23 | Time:  730 | Loss:   4.13800 | Score:  1
  Training |   299 | Steps:  6 | Time:  413 | Loss:   4.52837 | Score:  0
  Training |   300 | Steps:  6 | Time:  409 | Loss:   4.92728 | Score:  0
  Training |   301 | Steps:  8 | Time:  443 | Loss:   4.73414 | Score:  0
  Training |   302 | Steps:  8 | Time:  473 | Loss:   4.27539 | Score:  0
  Training |   303 | Steps: 12 | Time:  551 | Loss:   4.20519 | Score:  0
  Training |   304 | Steps:  7 | Time:  429 | Loss:   4.41097 | Score:  0
  Training |   305 | Steps:  8 | Time:  499 | Loss:   3.89932 | Score:  0
  Training |   306 | Steps: 15 | Time:  709 | Loss:   4.05282 | Score:  1
  Training |   307 | Steps: 19 | Time:  715 | Loss:   4.12945 | Score:  0
  Training |   308 | Steps: 14 | Time:  582 | Loss:   4.85052 | Score:  0
  Training |   309 | Steps: 16 | Time:  578 | Loss:   4.31581 | Score:  0
  Training |   310 | Steps: 10 | Time:  493 | Loss:   4.04955 | Score:  0
  Training |   311 | Steps: 18 | Time: 1010 | Loss:   4.25439 | Score:  0
  Training |   312 | Steps: 22 | Time:  763 | Loss:   4.52525 | Score:  0
  Training |   313 | Steps: 12 | Time:  542 | Loss:   4.09665 | Score:  0
  Training |   314 | Steps: 12 | Time:  545 | Loss:   3.86308 | Score:  0
  Training |   315 | Steps: 13 | Time:  559 | Loss:   4.62719 | Score:  0
  Training |   316 | Steps: 12 | Time:  504 | Loss:   4.18767 | Score:  0
  Training |   317 | Steps: 31 | Time:  909 | Loss:   3.88848 | Score:  1
  Training |   318 | Steps:  6 | Time:  408 | Loss:   3.78507 | Score:  0
  Training |   319 | Steps:  6 | Time:  400 | Loss:   4.61985 | Score:  0
  Training |   320 | Steps:  9 | Time:  468 | Loss:   4.56557 | Score:  0
  Training |   321 | Steps:  6 | Time:  458 | Loss:   4.08008 | Score:  0
  Training |   322 | Steps:  6 | Time:  403 | Loss:   4.31041 | Score:  1
  Training |   323 | Steps: 10 | Time:  486 | Loss:   3.88828 | Score:  0
  Training |   324 | Steps: 11 | Time:  488 | Loss:   3.74308 | Score:  0
  Training |   325 | Steps: 34 | Time: 1034 | Loss:   4.64116 | Score:  0
  Training |   326 | Steps:  7 | Time:  532 | Loss:   3.58415 | Score:  0
  Training |   327 | Steps: 16 | Time:  858 | Loss:   4.05579 | Score:  0
  Training |   328 | Steps:  6 | Time:  419 | Loss:   3.36940 | Score:  0
  Training |   329 | Steps: 16 | Time:  585 | Loss:   4.22182 | Score:  1
  Training |   330 | Steps:  9 | Time:  472 | Loss:   3.90230 | Score:  0
  Training |   331 | Steps: 19 | Time:  676 | Loss:   4.30119 | Score:  0
  Training |   332 | Steps: 10 | Time:  516 | Loss:   4.02109 | Score:  0
  Training |   333 | Steps: 10 | Time:  487 | Loss:   3.95802 | Score:  0
  Training |   334 | Steps: 24 | Time:  721 | Loss:   4.01552 | Score:  1
  Training |   335 | Steps:  7 | Time:  427 | Loss:   4.13786 | Score:  0
  Training |   336 | Steps: 14 | Time:  538 | Loss:   3.92522 | Score:  0
  Training |   337 | Steps:  8 | Time:  419 | Loss:   4.23665 | Score:  0
  Training |   338 | Steps: 34 | Time:  958 | Loss:   3.99547 | Score:  1
  Training |   339 | Steps:  7 | Time:  399 | Loss:   4.63793 | Score:  0
  Training |   340 | Steps: 24 | Time:  702 | Loss:   3.95331 | Score:  0
  Training |   341 | Steps: 18 | Time:  684 | Loss:   4.25159 | Score:  1
  Training |   342 | Steps: 12 | Time:  564 | Loss:   4.19308 | Score:  0
  Training |   343 | Steps: 15 | Time:  552 | Loss:   4.18230 | Score:  0
  Training |   344 | Steps: 14 | Time:  535 | Loss:   4.30631 | Score:  0
  Training |   345 | Steps: 15 | Time:  569 | Loss:   4.30638 | Score:  0
  Training |   346 | Steps:  7 | Time:  405 | Loss:   4.32830 | Score:  1
  Training |   347 | Steps: 24 | Time:  724 | Loss:   4.46152 | Score:  0
  Training |   348 | Steps: 15 | Time:  572 | Loss:   4.10696 | Score:  0
  Training |   349 | Steps:  7 | Time:  416 | Loss:   4.29581 | Score:  0
