  Training |   302 | Steps: 19 | Time:  984 | Loss:   0.53270 | Score:  0
  Training |   303 | Steps: 14 | Time:  793 | Loss:   0.51479 | Score:  0
  Training |   304 | Steps: 11 | Time:  707 | Loss:   0.63799 | Score:  0
  Training |   305 | Steps: 26 | Time: 1229 | Loss:   0.57506 | Score:  1
  Training |   306 | Steps: 23 | Time: 1108 | Loss:   0.64643 | Score:  0
  Training |   307 | Steps: 16 | Time:  848 | Loss:   0.59665 | Score:  0
  Training |   308 | Steps: 14 | Time:  805 | Loss:   0.44613 | Score:  0
  Training |   309 | Steps: 10 | Time:  623 | Loss:   0.50180 | Score:  0
  Training |   310 | Steps:  8 | Time:  545 | Loss:   0.56765 | Score:  0
  Training |   311 | Steps: 26 | Time: 1199 | Loss:   0.50367 | Score:  0
  Training |   312 | Steps: 14 | Time:  805 | Loss:   0.54201 | Score:  0
  Training |   313 | Steps:  7 | Time:  572 | Loss:   0.41695 | Score:  0
  Training |   314 | Steps: 23 | Time: 1126 | Loss:   0.66642 | Score:  0
  Training |   315 | Steps:  9 | Time:  597 | Loss:   0.63714 | Score:  0
  Training |   316 | Steps:  7 | Time:  551 | Loss:   0.48992 | Score:  0
  Training |   317 | Steps:  8 | Time:  578 | Loss:   0.86977 | Score:  0
  Training |   318 | Steps: 10 | Time:  618 | Loss:   0.39224 | Score:  0
  Training |   319 | Steps:  6 | Time:  480 | Loss:   0.77526 | Score:  0
  Training |   320 | Steps: 15 | Time:  804 | Loss:   0.57360 | Score:  0
  Training |   321 | Steps: 18 | Time:  927 | Loss:   0.66246 | Score:  0
  Training |   322 | Steps:  8 | Time:  591 | Loss:   0.65651 | Score:  0
  Training |   323 | Steps:  6 | Time:  478 | Loss:   0.37683 | Score:  0
  Training |   324 | Steps: 12 | Time:  706 | Loss:   0.50415 | Score:  0
  Training |   325 | Steps: 20 | Time:  969 | Loss:   0.53063 | Score:  1
  Training |   326 | Steps: 10 | Time:  665 | Loss:   0.44256 | Score:  0
  Training |   327 | Steps: 24 | Time: 1123 | Loss:   0.63794 | Score:  0
  Training |   328 | Steps: 45 | Time: 1896 | Loss:   0.52033 | Score:  1
  Training |   329 | Steps: 11 | Time:  664 | Loss:   0.68912 | Score:  0
  Training |   330 | Steps:  7 | Time:  545 | Loss:   0.58366 | Score:  0
  Training |   331 | Steps: 14 | Time:  799 | Loss:   0.35582 | Score:  1
  Training |   332 | Steps: 11 | Time:  651 | Loss:   0.68205 | Score:  0
  Training |   333 | Steps:  8 | Time:  579 | Loss:   0.37597 | Score:  0
  Training |   334 | Steps: 11 | Time:  670 | Loss:   0.81099 | Score:  0
  Training |   335 | Steps: 14 | Time:  789 | Loss:   0.52881 | Score:  0
  Training |   336 | Steps:  6 | Time:  483 | Loss:   0.59345 | Score:  0
  Training |   337 | Steps: 12 | Time:  694 | Loss:   0.77042 | Score:  0
  Training |   338 | Steps:  8 | Time:  551 | Loss:   0.67442 | Score:  0
  Training |   339 | Steps:  7 | Time:  517 | Loss:   0.36645 | Score:  0
  Training |   340 | Steps:  9 | Time:  622 | Loss:   0.58700 | Score:  1
  Training |   341 | Steps: 37 | Time: 1625 | Loss:   0.59620 | Score:  0
  Training |   342 | Steps: 18 | Time:  952 | Loss:   0.56906 | Score:  0
  Training |   343 | Steps:  8 | Time:  540 | Loss:   0.56299 | Score:  0
  Training |   344 | Steps:  6 | Time:  492 | Loss:   0.50084 | Score:  0
  Training |   345 | Steps: 21 | Time:  998 | Loss:   0.47725 | Score:  1
  Training |   346 | Steps:  7 | Time:  534 | Loss:   0.55478 | Score:  0
  Training |   347 | Steps: 27 | Time: 1256 | Loss:   0.51939 | Score:  1
  Training |   348 | Steps: 17 | Time:  863 | Loss:   0.62278 | Score:  0
